Title,Years,Runtime,Rating,Voting,Metascore,Descriptions,Director,Stars
1. The Raid: Redemption,2011,1h 41m,7.6, (220K),73,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy"
2. The Raid 2,2014,2h 30m,7.9, (133K),71,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra"
3. Manusia Setengah Salmon,2013,1h 40m,5.7, (179),N/A,"Dika and his family want to move out of his house for a reason, and Dika doesn't feel good about it. But as time goes, his feeling is getting better about his new house while he met his high school crush after a long time.",Herdanius Larobu,"Raditya Dika, Kimberly Ryder, Eriska Rein"
4. Gie,2005,2h 27m,7.6, (1.1K),N/A,"Soe Hok Gie is an activist who lived in the sixties. Set in the darkest era of Indonesian modern history, ""Gie"" is an interpretation of what happened based on his journal.",Riri Riza,"Nicholas Saputra, Jonathan Mulia, Thomas Nawilis"
5. The Act of Killing,2012,1h 57m,8.2, (41K),92,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers.",Joshua Oppenheimer,"Anwar Congo, Herman Koto, Syamsul Arifin"
6. The Look of Silence,2014,1h 43m,8.3, (14K),92,A family that survived the genocide in Indonesia confronts the men who killed one of their brothers.,Joshua Oppenheimer,"Adi Rukun, M.Y. Basrun, Volker Hanisch"
7. Laskar Pelangi,2008,2h 4m,7.9, (2.6K),N/A,"In the 1970s, a group of 10 students struggles with poverty and develop hopes for the future in Gantong Village on the farming and tin mining island of Belitung off the east coast of Sumatra.",Riri Riza,"Cut Mini Theo, Zulfanny, Ikranagara"
8. Habibie & Ainun,2012,2h,7.6, (2.3K),N/A,"This movie is based on the memoir written by the 3rd President of Indonesia and one of the world-famous engineer, B.J. Habibie about his wife, Hasri Ainun Habibie.",Faozan Rizal,"Reza Rahadian, Bunga Citra Lestari, Tio Pakusadewo"
9. What's Up with Cinta?,2002,1h 52m,7.7, (3.3K),N/A,A popular girl has to choose whether she wants to stay as a part of her clique or fall for the brooding literature-loving boy in her school.,Rudy Soedjarwo,"Dian Sastrowardoyo, Nicholas Saputra, Ladya Cheryl"
10. Sherina's Adventure,2000,1h 52m,7.8, (1.1K),N/A,Adventure of a little girl who just moved to a new town and meet a new friends.,Riri Riza,"Sherina Munaf, Derby Romero, Didi Petet"
11. Catatan Akhir Sekolah,2005,1h 49m,7.4, (533),N/A,A journey of three students for making a short documentary movie about their school as a last farewell tribute to every single thing of their memories in High School.,Hanung Bramantyo,"Joanna Alexandra, Vino G. Bastian, Marcel Chandrawinata"
12. Macabre,2009,1h 35m,6.4, (3.9K),N/A,"Six friends on a road trip stumble upon a strange girl and her enigmatic mother. The mother invites them for dinner, trapping and hunting them. Her family systematically eliminates the friends one by one through a nefarious ritual.",Kimo Stamboel,"Shareefa Daanish, Julie Estelle, Ario Bayu"
13. Naga Bonar,1987,1h 35m,7.0, (516),N/A,"Naga Bonar is a pickpocket. During the withdrawal of the Japanese occupying forces from Indonesia in 1945 he declares himself a general of the Liberation Forces. Soon a mask becomes his true self, and he becomes a true soldier and patriot.",M.T. Risyaf,"Deddy Mizwar, Nurul Arifin, Wawan Wanisar"
14. Naga Bonar Jadi 2,2007,1h 58m,7.1, (443),N/A,"A sequel to the 1986 movie ""Nagabonar"" telling the story about the relationship between Nagabonar, a pickpocket who became a self-proclaimed general during Indonesia's war of independence, and his only son Bonaga.",Deddy Mizwar,"Deddy Mizwar, Tora Sudiro, Wulan Guritno"
15. Warkop DKI Reborn: Jangkrik Boss Part 1,2016,1h 35m,6.4, (1.3K),N/A,"Dono, Kasino, and Indro are back in action. Now, they join a private institution called CHIPS. Even though they are passionate about serving the community, they also continue to cause problems because of their silly and funny actions.",Anggy Umbara,"Abimana Aryasatya, Vino G. Bastian, Tora Sudiro"
16. Garuda di Dadaku,2009,1h 37m,6.7, (299),N/A,Talented 12-year-old boy dreams of becoming a great soccer player despite his loving grandfather's stern disapproval.,Ifa Isfansyah,"Emir Mahira, Aldo Tansani, Marsha Aruan"
17. Soekarno,2013,2h 17m,6.9, (589),N/A,"This movie follows the life of Soekarno, the first president of the Republic of Indonesia, from his childhood until he managed to proclaimed Indonesian freedom with M. Hatta in 1945.",Hanung Bramantyo,"Ario Bayu, Muhammad Abbe, Moch. Achir"
18. Guru Bangsa Tjokroaminoto,2015,2h 41m,6.9, (158),N/A,"In 1912, Javanese activist Omar Said Tjokroaminoto (Reza Rahadian) co-founds the Sarekat Islam party to fight injustices of the Dutch East Indies' colonial regime.",Garin Nugroho,"Reza Rahadian, Christoffer Nelwan, Putri Ayudya"
19. 5 cm,2012,2h 5m,7.2, (2.5K),N/A,"Five best friends try to find out what true friendship is by climbing Mount Semeru, the highest peak in Java.",Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril"
20. Verses of Love,2008,2h 10m,6.9, (1.3K),N/A,A man who try to get through a complicated relationship in the Islamic way.,Hanung Bramantyo,"Fedi Nuril, Rianti Cartwright, Carissa Putri"
